size: 10
delay	0,1	1	10	100
1ms	0.039721	0.033654	0.032110	0.036459	
5ms	0.035931	0.034818	0.031108	0.032559	
10ms	0.038655	0.038868	0.033976	0.054612	
50ms	0.039744	0.041891	0.043087	0.044851	
100ms	0.043544	0.031342	0.034433	0.035725	
500ms	0.041214	0.041041	0.043864	0.033428	

size: 100
delay	0,1	1	10	100
1ms	0.030167	0.029925	0.030418	0.030512	
5ms	0.034993	0.029692	0.027992	0.030285	
10ms	0.030318	0.027939	0.029204	0.027916	
50ms	0.031795	0.029727	0.028376	0.027454	
100ms	0.035583	0.030427	0.028361	0.032685	
500ms	0.028864	0.032444	0.028435	0.031621	

size: 1000
delay	0,1	1	10	100
1ms	0.028456	0.041476	0.028856	0.031258	
5ms	0.031531	0.032501	0.027741	0.028811	
10ms	0.034210	0.030833	0.031702	0.032224	
50ms	0.029879	0.032222	0.029628	0.031359	
100ms	0.030544	0.032652	0.030545	0.028564	
500ms	0.028514	0.032070	0.028211	0.028635	

size: 10000
delay	0,1	1	10	100
1ms	0.036971	0.119638	0.035853	0.037208	
5ms	0.039613	0.038127	0.036745	0.036916	
10ms	0.035728	0.038744	0.035086	0.038039	
50ms	0.038658	0.038837	0.035561	0.035733	
100ms	0.037660	0.037908	0.038441	0.035898	
500ms	0.036696	0.040891	0.041216	0.036889	

