01 1ms
messages	10	100	1000	10000
1	0.039721	0.030167	0.028456	
10	0.035117	0.031110	0.040037	
100	0.047278	0.053723	0.078183	
01 5ms
messages	10	100	1000	10000
1	0.035931	0.034993	0.031531	
10	0.035153	0.034094	0.043054	
100	0.042629	0.047604	0.074775	
01 10ms
messages	10	100	1000	10000
1	0.038655	0.030318	0.034210	
10	0.032783	0.031418	0.041714	
100	0.042373	0.046544	0.078825	
01 50ms
messages	10	100	1000	10000
1	0.039744	0.031795	0.029879	
10	0.036885	0.034943	0.043071	
100	0.040395	0.050298	0.082400	
01 100ms
messages	10	100	1000	10000
1	0.043544	0.035583	0.030544	
10	0.034902	0.038767	0.038897	
100	0.044460	0.054660	0.080823	
01 500ms
messages	10	100	1000	10000
1	0.041214	0.028864	0.028514	
10	0.038227	0.030609	0.047082	
100	0.040672	0.049963	0.078094	
1 1ms
messages	10	100	1000	10000
1	0.033654	0.029925	0.041476	
10	0.034637	0.044234	0.102300	
100	0.043181	0.222485	3.178179	
1 5ms
messages	10	100	1000	10000
1	0.034818	0.029692	0.032501	
10	0.034653	0.034897	0.041865	
100	0.042736	0.049313	0.081082	
1 10ms
messages	10	100	1000	10000
1	0.038868	0.027939	0.030833	
10	0.035340	0.037531	0.042562	
100	0.047095	0.049588	0.074944	
1 50ms
messages	10	100	1000	10000
1	0.041891	0.029727	0.032222	
10	0.035581	0.038683	0.044419	
100	0.044542	0.051076	0.076188	
1 100ms
messages	10	100	1000	10000
1	0.031342	0.030427	0.032652	
10	0.038133	0.036313	0.042850	
100	0.044486	0.049691	0.079889	
1 500ms
messages	10	100	1000	10000
1	0.041041	0.032444	0.032070	
10	0.033982	0.032503	0.040391	
100	0.047754	0.050895	0.078761	
10 1ms
messages	10	100	1000	10000
1	0.032110	0.030418	0.028856	
10	0.035743	0.037540	0.040644	
100	0.042575	0.050698	0.083817	
10 5ms
messages	10	100	1000	10000
1	0.031108	0.027992	0.027741	
10	0.037418	0.034861	0.039729	
100	0.043809	0.050059	0.075478	
10 10ms
messages	10	100	1000	10000
1	0.033976	0.029204	0.031702	
10	0.033381	0.038628	0.040726	
100	0.043451	0.049086	0.078407	
10 50ms
messages	10	100	1000	10000
1	0.043087	0.028376	0.029628	
10	0.032874	0.059776	0.039681	
100	0.043840	0.050559	0.078669	
10 100ms
messages	10	100	1000	10000
1	0.034433	0.028361	0.030545	
10	0.032584	0.034998	0.038676	
100	0.044898	0.052125	0.080225	
10 500ms
messages	10	100	1000	10000
1	0.043864	0.028435	0.028211	
10	0.032777	0.031680	0.042648	
100	0.049281	0.052424	0.073004	
100 1ms
messages	10	100	1000	10000
1	0.036459	0.030512	0.031258	
10	0.033251	0.030362	0.042725	
100	0.044455	0.047937	0.075791	
100 5ms
messages	10	100	1000	10000
1	0.032559	0.030285	0.028811	
10	0.032758	0.032013	0.052729	
100	0.042477	0.051650	0.078525	
100 10ms
messages	10	100	1000	10000
1	0.054612	0.027916	0.032224	
10	0.034766	0.032210	0.039217	
100	0.043046	0.049586	0.074262	
100 50ms
messages	10	100	1000	10000
1	0.044851	0.027454	0.031359	
10	0.034687	0.033154	0.039703	
100	0.045047	0.049949	0.083939	
100 100ms
messages	10	100	1000	10000
1	0.035725	0.032685	0.028564	
10	0.035648	0.031771	0.045124	
100	0.041500	0.053378	0.085078	
100 500ms
messages	10	100	1000	10000
1	0.033428	0.031621	0.028635	
10	0.034456	0.037319	0.040579	
100	0.047816	0.056287	0.074520	
