01 1ms
messages	10	100	1000	10000
1	0.029649	0.027899	0.025667	
10	0.050932	0.052407	0.053693	
100	0.239392	0.231240	0.235636	
01 5ms
messages	10	100	1000	10000
1	0.031005	0.029534	0.030538	
10	0.055155	0.054322	0.054013	
100	0.220487	0.224435	0.233913	
01 10ms
messages	10	100	1000	10000
1	0.030201	0.026628	0.028667	
10	0.048710	0.049727	0.051960	
100	0.237197	0.227193	0.230263	
01 50ms
messages	10	100	1000	10000
1	0.039829	0.031167	0.030271	
10	0.056453	0.057569	0.053831	
100	0.231458	0.230144	0.230169	
01 100ms
messages	10	100	1000	10000
1	0.041640	0.028215	0.030652	
10	0.051709	0.051728	0.051053	
100	0.233208	0.246367	0.237176	
01 500ms
messages	10	100	1000	10000
1	0.034968	0.030636	0.028554	
10	0.051776	0.050161	0.053451	
100	0.229997	0.231815	0.227233	
1 1ms
messages	10	100	1000	10000
1	0.040971	0.036367	0.045178	
10	0.060063	0.073583	0.109231	
100	0.302894	0.538722	4.771029	
1 5ms
messages	10	100	1000	10000
1	0.031610	0.027609	0.029846	
10	0.051108	0.052396	0.057095	
100	0.241543	0.236253	0.234052	
1 10ms
messages	10	100	1000	10000
1	0.033907	0.027636	0.028526	
10	0.049922	0.050051	0.055027	
100	0.228507	0.233542	0.252762	
1 50ms
messages	10	100	1000	10000
1	0.036025	0.028882	0.027875	
10	0.048038	0.050988	0.059861	
100	0.224807	0.245623	0.242479	
1 100ms
messages	10	100	1000	10000
1	0.034998	0.027613	0.031446	
10	0.048219	0.052624	0.053812	
100	0.229127	0.233319	0.234784	
1 500ms
messages	10	100	1000	10000
1	0.032044	0.028590	0.027704	
10	0.049686	0.051270	0.061307	
100	0.244720	0.246724	0.233920	
10 1ms
messages	10	100	1000	10000
1	0.049004	0.040156	0.039280	
10	0.067069	0.066564	0.068577	
100	0.270589	0.223383	0.232422	
10 5ms
messages	10	100	1000	10000
1	0.030925	0.024375	0.028280	
10	0.051790	0.055471	0.054026	
100	0.231641	0.233407	0.243312	
10 10ms
messages	10	100	1000	10000
1	0.030243	0.026314	0.026596	
10	0.053412	0.054470	0.055039	
100	0.225919	0.219927	0.239811	
10 50ms
messages	10	100	1000	10000
1	0.039033	0.031267	0.028898	
10	0.052781	0.050545	0.051520	
100	0.221094	0.223141	0.252589	
10 100ms
messages	10	100	1000	10000
1	0.026889	0.028869	0.026423	
10	0.050085	0.049904	0.056077	
100	0.235936	0.268764	0.234410	
10 500ms
messages	10	100	1000	10000
1	0.032390	0.026434	0.033806	
10	0.049656	0.052373	0.052886	
100	0.227198	0.234140	0.235495	
100 1ms
messages	10	100	1000	10000
1	0.031094	0.030771	0.039636	
10	0.066921	0.063346	0.066990	
100	0.254321	0.228142	0.233250	
100 5ms
messages	10	100	1000	10000
1	0.030328	0.025414	0.026357	
10	0.050975	0.049879	0.064418	
100	0.228155	0.225127	0.224456	
100 10ms
messages	10	100	1000	10000
1	0.030300	0.025455	0.028831	
10	0.050402	0.056167	0.052147	
100	0.225184	0.228599	0.236174	
100 50ms
messages	10	100	1000	10000
1	0.030697	0.031798	0.027274	
10	0.051586	0.055278	0.057593	
100	0.235298	0.231695	0.238208	
100 100ms
messages	10	100	1000	10000
1	0.032527	0.029163	0.031030	
10	0.060773	0.051355	0.058334	
100	0.235516	0.241812	0.239416	
100 500ms
messages	10	100	1000	10000
1	0.032890	0.026347	0.027654	
10	0.047502	0.056514	0.059121	
100	0.232775	0.225732	0.245749	
